time,X_value,Y_value,Z_value
Started:,8월 21 2019,11:18:44:603, 
0.0000,0.00000,0.00000,0.00000
0.0015,-0.10452,0.03699,-0.13916
0.0315,-0.09855,0.04196,-0.11101
0.0600,-0.09958,0.05115,-0.09013
0.0941,-0.09586,0.04642,-0.07320
0.1278,-0.07780,0.03302,-0.05880
0.1616,-0.07083,0.02871,-0.04792
0.1958,-0.05237,0.02451,-0.03297
0.2306,-0.04142,0.03138,-0.02009
0.2646,-0.03251,0.04130,-0.01463
0.2980,-0.01595,0.03904,-0.01322
0.3323,0.00032,0.03085,-0.01694
0.3667,-0.01398,0.02941,-0.02765
0.4011,-0.03593,0.02487,-0.04301
0.4341,-0.05851,-0.00318,-0.07342
0.4686,-0.10716,-0.03592,-0.12224
0.5035,-0.14299,-0.03839,-0.19631
0.5366,-0.20629,-0.00209,-0.29817
0.5703,-0.21038,-0.01974,-0.43454
0.6042,-0.11573,-0.06134,-0.61336
0.6386,-0.09124,-0.04044,-0.82208
0.6729,-0.07995,-0.01313,-1.04805
0.7061,0.04876,-0.06011,-1.27210
0.7401,0.20826,-0.07842,-1.47882
0.7748,0.35572,-0.08166,-1.63444
0.8090,0.48867,-0.10419,-1.75055
0.8433,0.52352,-0.07539,-1.82778
0.8763,0.51684,-0.00775,-1.85298
0.9114,0.54902,0.02333,-1.82239
0.9443,0.57916,0.02066,-1.76658
0.9800,0.54670,0.00582,-1.67644
1.0134,0.45438,-0.00570,-1.50725
1.0465,0.38114,-0.00570,-1.29826
1.0814,0.35509,-0.00550,-1.08714
1.1162,0.32235,0.00296,-0.85373
1.1487,0.28183,0.00581,-0.58682
1.1829,0.23897,-0.01072,-0.30323
1.2167,0.17213,-0.02796,0.00259
1.2509,0.07854,-0.04513,0.32151
1.2851,0.04508,-0.04511,0.64278
1.3191,0.01136,0.02211,0.96413
1.3531,-0.10000,0.12643,1.28643
1.3868,-0.20501,0.17436,1.59702
1.4208,-0.32521,0.20748,1.88707
1.4547,-0.47078,0.31915,2.14961
1.4891,-0.59561,0.42527,2.37832
1.5230,-0.67819,0.45292,2.55799
1.5565,-0.73534,0.43944,2.71545
1.5910,-0.86213,0.46864,2.85359
1.6250,-0.98227,0.58248,2.93361
1.6590,-0.97833,0.65047,2.93776
1.6933,-0.87492,0.63340,2.87326
1.7276,-0.81351,0.62176,2.70304
1.7609,-0.80637,0.62604,2.45186
1.7950,-0.72918,0.54101,2.15624
1.8304,-0.58045,0.43948,1.81193
1.8634,-0.49263,0.37449,1.48727
1.8972,-0.49395,0.31654,1.22173
1.9313,-0.50618,0.21479,1.00375
1.9656,-0.47151,0.08869,0.79472
2.0006,-0.43685,-0.00977,0.59793
2.0341,-0.40759,-0.05313,0.43760
2.0687,-0.36772,-0.06615,0.29551
2.1027,-0.30833,-0.07847,0.15687
2.1354,-0.25846,-0.08652,0.03389
2.1697,-0.19553,-0.09021,-0.06281
2.2034,-0.15863,-0.08251,-0.12733
2.2376,-0.15429,-0.06728,-0.16477
2.2714,-0.15069,-0.05068,-0.18559
2.3054,-0.13348,-0.04254,-0.18531
2.3396,-0.10969,-0.03892,-0.17388
2.3743,-0.09426,-0.03391,-0.16227
2.4076,-0.08487,-0.03414,-0.14290
2.4420,-0.09035,-0.03154,-0.12238
2.4768,-0.08592,-0.03465,-0.10605
2.5100,-0.07504,-0.03472,-0.09059
2.5436,-0.07141,-0.03028,-0.06630
2.5776,-0.05613,-0.02841,-0.04822
2.6116,-0.03721,-0.02323,-0.03564
2.6460,-0.09016,0.03922,-0.02430
2.6797,-0.18646,0.11845,-0.01176
2.7133,-0.13332,0.09889,-0.00693
2.7477,-0.02777,0.03424,0.00065
