time,X_value,Y_value,Z_value
Started:,8월 21 2019,10:48:40:809, 
0.0000,0.00000,0.00000,0.00000
0.0011,-0.16908,-0.20463,-0.00347
0.0315,-0.10204,-0.14558,-0.00275
0.0654,-0.07890,-0.09766,-0.00624
0.0994,-0.05394,-0.08390,-0.00847
0.1336,-0.05721,-0.05650,-0.01036
0.1679,-0.05724,-0.03544,-0.01088
0.2014,-0.04455,-0.02206,-0.00888
0.2353,-0.03378,-0.00429,-0.00218
0.2692,-0.04049,0.00772,0.00406
0.3033,-0.04131,0.01778,0.00673
0.3375,-0.02524,0.02852,0.00845
0.3712,-0.01675,0.03505,0.00694
0.4053,-0.02391,0.04565,0.00963
0.4394,-0.01259,0.04452,0.01097
0.4735,0.01244,0.04246,0.00942
0.5191,0.01285,0.04559,0.01400
0.5414,0.01092,0.04527,0.01512
0.5758,0.02190,0.03438,0.00875
0.6098,0.02301,0.03442,0.00585
0.6448,0.01487,0.03879,0.00285
0.6777,0.01893,0.02649,-0.00251
0.7116,0.00852,0.01788,-0.00684
0.7467,-0.00216,0.00138,-0.01394
0.7799,-0.02943,-0.03341,-0.02250
0.8147,-0.06188,-0.07376,-0.04028
0.8483,-0.07050,-0.10868,-0.04835
0.8825,-0.06379,-0.14320,-0.04927
0.9164,-0.06628,-0.17226,-0.05767
0.9505,-0.07515,-0.21819,-0.11154
0.9845,-0.10186,-0.23906,-0.19313
1.0188,-0.11260,-0.22768,-0.29786
1.0524,-0.15058,-0.22076,-0.44069
1.0866,-0.11007,-0.24538,-0.61896
1.1207,0.11470,-0.29679,-0.78420
1.1547,0.36775,-0.26447,-0.94928
1.1884,0.36559,-0.06026,-1.16152
1.2225,0.23259,0.20593,-1.42875
1.2567,0.21076,0.35776,-1.69750
1.2907,0.27697,0.48897,-2.03871
1.3247,0.36499,0.64166,-2.41654
1.3587,0.46247,0.78470,-2.77208
1.3926,0.43119,0.95229,-3.14760
1.4264,0.22217,1.15398,-3.52965
1.4605,-0.07093,1.42176,-3.93641
1.4945,-0.60999,1.72709,-4.41504
1.5368,-1.29961,1.92787,-4.82048
1.5628,-1.85155,1.89367,-5.05233
1.5969,-2.31018,1.75897,-5.22250
1.6306,-2.63293,1.61628,-5.28647
1.6649,-2.81249,1.45107,-5.19635
1.6995,-2.97081,1.26210,-5.04571
1.7330,-3.08866,1.11879,-4.84117
1.7671,-3.18424,1.08169,-4.59543
