time,X_value,Y_value,Z_value
Started:,8월 19 2019,15:08:22:456, 
0.0000,0.00000,0.00000,0.00000
0.0011,0.99029,-0.98694,-0.04649
0.0404,0.66020,-0.77886,-0.05816
0.0801,0.44474,-0.63683,0.07856
0.1194,0.25648,-0.53441,0.19013
0.1586,0.21557,-0.40386,0.14249
0.1998,0.27298,-0.32418,0.17547
0.2400,0.23675,-0.23368,0.18008
0.2808,0.41251,-0.11968,0.10527
0.3212,0.42003,-0.15912,0.37198
0.3597,0.38283,-0.22134,0.75174
0.3993,0.22571,-0.19334,0.69508
0.4400,0.17385,-0.07188,0.59484
0.4813,0.12236,-0.01896,0.17254
0.5200,0.20880,0.03519,-0.00013
0.5601,0.33017,-0.05529,-0.37663
0.6002,0.19263,-0.12552,-0.87576
0.6399,0.23810,-0.26082,-0.69727
0.6801,0.05641,-0.29332,-1.11730
0.7206,-0.17731,-0.46739,-1.42620
0.7592,0.16973,-0.62309,-0.21956
0.8006,0.18829,-0.57048,0.22757
0.8425,-0.11455,-0.51072,-0.03428
0.8821,-0.19377,-0.48221,0.09048
0.9211,0.28004,-0.41486,-0.09822
0.9618,0.81963,-0.25866,0.21099
1.0024,1.71159,-0.12913,0.03280
1.0426,3.20760,0.20811,-0.02054
1.0820,5.39144,0.54515,-0.23242
1.1226,6.13079,0.09954,-1.33527
1.1614,6.11263,-0.46896,-0.79537
1.2028,6.60487,-0.92467,0.80137
1.2417,6.96738,-1.52531,0.89902
1.2822,7.85800,-2.26454,1.86413
1.3220,8.70011,-3.28526,3.48655
1.3623,9.43326,-4.80260,4.69553
1.4021,9.89357,-6.50460,5.32529
1.4426,10.29238,-8.29286,6.17780
1.4841,10.28235,-9.61151,6.57022
1.5227,10.97378,-10.69610,7.47120
1.5661,10.73918,-11.63634,7.88692
1.6044,10.13684,-12.03279,8.37565
1.6427,8.89740,-12.24536,8.49809
1.6860,8.56410,-11.75101,8.05448
1.7260,7.67822,-10.99834,6.83712
1.7649,7.08267,-9.70779,5.48430
1.8036,7.09834,-8.56019,4.97436
1.8444,6.19707,-7.78547,4.10477
1.8856,5.44059,-7.24710,3.04399
1.9245,4.49509,-7.09794,1.78243
1.9649,3.97749,-6.97112,1.00886
2.0047,3.14161,-6.89980,-0.17992
2.0445,2.54513,-6.60188,-0.77758
2.0855,1.67843,-6.37389,-2.05035
2.1257,0.85749,-6.22294,-2.06997
2.1636,0.60929,-5.81712,-2.26844
2.2053,0.47583,-5.32202,-2.29214
2.2440,0.46563,-4.76577,-2.64248
2.2860,0.56540,-4.60055,-2.51310
2.3256,0.31291,-4.46884,-2.44132
2.3655,0.40331,-4.32107,-2.46799
2.4056,0.64578,-4.24943,-2.28070
2.4455,0.67597,-4.32271,-2.14767
2.4872,1.64652,-4.68678,-1.62555
2.5261,2.98976,-5.02438,-0.29343
2.5662,5.08975,-5.95439,1.06165
2.6070,8.23285,-7.97490,2.74242
2.6448,11.16060,-11.47072,4.15148
2.6871,16.50476,-17.57301,6.86963
2.7264,20.42189,-24.98679,10.08347
2.7661,25.96301,-36.75980,14.62667
2.8068,28.52482,-44.33115,19.63568
2.8456,28.98066,-47.92257,23.18978
2.8865,29.28664,-48.24025,22.71959
2.9265,25.97347,-45.14663,25.98656
2.9668,19.20101,-45.08892,28.33823
3.0057,16.53107,-47.60818,29.49027
3.0467,20.03299,-49.33085,28.36325
3.0871,23.70979,-48.64197,24.19312
3.1264,25.18859,-46.72219,20.94456
3.1693,24.41970,-43.94687,16.97555
3.2061,22.28931,-41.17143,11.80079
3.2462,19.74647,-36.39958,5.00647
3.2867,16.66882,-30.99303,0.50409
3.3270,12.97950,-25.67352,-1.52724
3.3669,9.40209,-20.97214,-1.16125
3.4074,6.20213,-16.69285,-0.40013
3.4472,4.46689,-13.10844,-0.15429
3.4870,3.61218,-10.22018,-0.43245
3.5271,3.48614,-7.98779,-0.92061
3.5671,2.94349,-6.27890,-0.97582
3.6075,2.62239,-5.07257,-1.00929
3.6468,2.16497,-4.39236,-0.74421
3.6870,2.11424,-4.09476,-0.71024
3.7267,2.21406,-4.09728,-0.76154
3.7678,2.51400,-4.27705,-0.84947
3.8077,2.68914,-4.47278,-0.58087
3.8468,3.21762,-4.37256,0.88606
3.8889,3.23847,-4.14439,2.05659
3.9297,3.38778,-3.97794,3.24814
3.9686,2.68040,-3.87941,4.82086
4.0086,2.62526,-3.18292,5.61263
4.0508,1.83305,-2.78447,6.55776
4.0959,1.20139,-2.08449,6.98540
4.1284,0.64576,-1.27234,7.11584
4.1690,0.09238,-0.59233,7.42804
4.2088,-0.67635,0.08503,6.95323
4.2488,-1.30122,0.42332,6.72663
4.2906,-1.96828,0.53686,6.49201
4.3319,-2.57644,0.48098,5.97048
4.3703,-2.97828,0.40649,5.05653
4.4093,-3.07320,0.24675,4.11511
4.4514,-3.08752,-0.03048,3.38455
4.4915,-2.81689,-0.18398,2.81711
4.5285,-2.58177,-0.39649,2.40644
4.5682,-2.39862,-0.55031,1.56421
4.6091,-2.07918,-0.69086,1.20290
4.6497,-1.76943,-0.83647,0.94614
