time,X_value,Y_value,Z_value
Started:,8월 19 2019,15:17:00:489, 
0.0000,0.00000,0.00000,0.00000
0.0058,-0.05916,0.15918,-0.43768
0.0467,-0.17029,0.09638,-0.48570
0.0889,-0.10369,0.11444,-0.31798
0.1286,-0.07467,0.18640,-0.36741
0.1686,0.28258,0.31969,-0.34574
0.2108,0.20044,0.38854,-0.05110
0.2507,0.21191,0.36711,-0.03888
0.2917,0.85388,0.43434,0.20653
0.3333,0.65495,0.40728,0.21566
0.3739,0.37101,0.36864,-0.01458
0.4149,0.12102,0.26301,-0.75382
0.4547,-0.20929,0.03013,-1.40769
0.4960,-0.73161,-0.40598,-1.27427
0.5357,-1.17253,-0.88387,-0.89759
0.5777,-1.61260,-1.14149,-1.03539
0.6183,-1.31040,-0.86306,-1.06355
0.6602,-0.60550,-0.36733,-0.76064
0.7027,0.09506,0.33798,-0.53140
0.7430,0.75252,0.93823,-0.70125
0.7843,0.92667,1.39234,-1.21336
0.8237,1.05255,1.63217,-0.75985
0.8636,1.00867,1.87978,0.37199
0.9034,0.86969,2.10119,1.18985
0.9459,1.05736,2.04535,1.35511
0.9862,1.75578,1.52967,1.67556
1.0280,2.01894,0.35712,2.16175
1.0692,1.89684,-0.83282,2.72130
1.1097,1.92335,-1.94234,3.48796
1.1495,1.76641,-2.52149,3.53217
1.1909,2.15816,-2.54751,3.44988
1.2309,2.10932,-2.59978,2.74207
1.2704,2.44316,-2.66816,1.79542
1.3117,2.16088,-2.75920,1.26052
1.3517,1.93060,-2.99854,1.08043
1.3930,1.91141,-3.42595,0.60669
1.4337,2.06162,-3.64505,0.27121
1.4747,2.20508,-3.77629,0.19394
1.5160,2.31236,-4.10549,-0.22410
1.5566,3.12588,-4.81497,-0.14321
1.5975,4.16031,-5.59408,0.40568
1.6388,5.77526,-6.90027,1.95384
1.6795,8.07645,-9.29403,3.92081
1.7195,12.09811,-13.13475,6.52845
1.7604,16.60648,-17.40467,12.04937
1.8017,22.22264,-23.79518,16.95091
1.8426,27.52119,-30.86196,20.37219
1.8810,32.81309,-42.45222,24.60556
1.9244,36.25171,-49.52468,33.36974
1.9632,37.51264,-49.61966,35.95097
2.0290,34.37656,-46.55710,37.18156
2.0444,32.40711,-40.23811,35.98439
2.0851,30.67293,-33.64001,32.16033
2.1521,30.87315,-26.37478,25.83632
2.1672,29.06617,-18.96046,21.52338
2.2080,27.53124,-13.21779,16.88245
2.2499,23.94824,-9.48203,11.66747
2.2907,20.30908,-6.87884,7.15428
2.3313,17.11568,-5.01520,4.35599
2.3701,13.78614,-3.70419,2.36449
2.4115,10.74805,-3.09603,2.28116
2.4527,8.37150,-2.80628,1.80001
2.4910,7.07957,-2.62644,1.47082
2.5323,6.48831,-2.40163,1.81689
2.5739,6.04927,-2.59826,1.88510
2.6149,5.62815,-2.89022,2.32342
2.6570,4.84440,-3.02484,2.72198
2.6978,4.81875,-3.35686,4.00935
2.7387,3.97903,-3.66112,5.55824
2.7808,3.02074,-3.66239,6.82538
2.8217,2.18120,-3.70053,7.84552
2.8645,1.44280,-3.49700,7.92704
2.9038,0.62366,-3.33334,7.95656
2.9450,0.17052,-3.27786,7.81094
2.9847,-0.24058,-3.19671,7.38168
3.0268,-0.75621,-3.05411,6.55313
3.0678,-1.10616,-2.91438,5.50944
3.1088,-1.23815,-2.68944,4.74673
3.1512,-1.55114,-2.43211,3.93348
3.1919,-1.68027,-2.12395,3.30347
3.2330,-1.73682,-1.77013,2.71740
3.2731,-1.76689,-1.42628,2.07649
3.3130,-1.82010,-1.10344,1.54180
3.3545,-1.70480,-0.72605,1.06273
3.3973,-1.57519,-0.44161,0.74717
3.4372,-1.44540,-0.20067,0.43477
3.4767,-1.31860,-0.00828,0.25730
3.5173,-1.07425,0.18607,0.15042
3.5575,-0.93405,0.31119,-0.01441
3.5976,-0.74777,0.42125,-0.11125
3.6380,-0.52000,0.49175,-0.22654
3.6777,-0.39877,0.47240,-0.24365
3.7189,-0.19622,0.40978,-0.37471
3.7624,0.04353,0.39436,-0.29695
