time,X_value,Y_value,Z_value
Started:,8월 19 2019,15:06:36:902, 
0.0000,0.00000,0.00000,0.00000
0.0030,-0.17909,-0.15016,-0.11115
0.0446,0.17801,-0.11336,0.67382
0.0854,-0.31890,-0.06111,0.24877
0.1246,-0.10264,-0.20874,-0.83756
0.1660,-0.18509,-0.26998,-1.04321
0.2054,-0.16343,-0.36206,-1.09827
0.2467,0.00893,-0.33003,-0.70173
0.2862,0.03597,-0.32087,-0.04643
0.3259,-0.13250,-0.25598,0.61784
0.3668,-0.19939,-0.20279,0.53937
0.4066,-0.27157,-0.10940,0.30967
0.4469,-0.33961,-0.11387,0.26010
0.4869,-0.13484,-0.25785,0.52835
0.5272,0.35176,-0.21701,0.87031
0.5681,0.84297,-0.09589,0.99018
0.6069,0.91143,-0.03741,0.60672
0.6480,0.70323,-0.12370,0.25968
0.6869,0.66211,-0.21603,0.37114
0.7272,0.44030,-0.23177,0.13359
0.7672,0.20778,-0.31756,-0.25528
0.8085,0.74175,-0.29899,-0.22303
0.8488,1.00748,-0.31017,-0.62280
0.8884,1.68123,-0.38243,-1.15885
0.9285,2.07958,-0.54278,-1.12191
0.9680,2.41444,-0.56871,-0.13936
1.0097,2.87267,-0.47065,-0.02984
1.0494,4.06793,-0.32685,-0.45251
1.0897,4.51151,-0.58826,0.60988
1.1302,4.48829,-1.00583,1.61111
1.1681,5.11432,-1.42818,2.57167
1.2100,5.76556,-2.03119,3.11716
1.2499,6.29015,-2.97307,3.07084
1.2891,6.37780,-4.01134,4.43378
1.3310,5.68609,-4.97254,5.41308
1.3708,5.14656,-5.15460,5.13110
1.4107,4.67113,-4.72554,4.48634
1.4513,4.57766,-4.42254,4.67823
1.4924,4.27516,-4.41482,5.45693
1.5337,3.45790,-4.26784,5.44787
1.5733,2.60421,-4.23883,6.09506
1.6127,1.92323,-4.45890,6.73652
1.6543,1.12560,-4.57346,6.58428
1.6940,0.60603,-4.59606,6.48339
1.7332,0.40234,-4.26180,5.48377
1.7747,0.60072,-3.78737,5.25750
1.8145,0.87737,-3.11990,4.86324
1.8578,1.10322,-2.62454,4.95771
1.8938,1.89467,-2.55194,5.22493
1.9341,3.36430,-2.96829,4.57953
1.9745,4.36623,-3.30578,4.36332
2.0144,4.59375,-4.10006,4.21082
2.0564,5.23992,-5.45433,2.98051
2.0951,5.40091,-6.47805,1.71993
2.1356,4.65203,-6.93362,1.40424
2.1755,4.07130,-7.38193,0.86285
2.2150,3.74743,-7.80267,0.03780
2.2543,4.19430,-8.03637,0.33044
2.2965,3.61677,-8.61565,0.53073
2.3358,5.00843,-9.32179,0.26450
2.3746,7.85224,-9.75152,1.29678
2.4156,10.01487,-10.46253,1.82314
2.4559,13.23766,-10.99072,4.01810
2.4941,15.93540,-10.81985,4.94449
2.5340,18.14966,-11.33960,6.56760
2.5751,21.68275,-12.95045,9.01843
2.6159,25.14172,-14.67138,9.65004
2.6550,26.86458,-17.82115,11.35843
2.6981,30.03358,-22.16092,11.44916
2.7384,33.05598,-23.76357,9.29428
2.7782,32.60548,-25.03064,9.66291
2.8181,32.71393,-23.86550,10.24521
2.8584,28.07299,-25.34909,15.40968
2.8986,25.52269,-30.79138,19.96806
2.9384,25.63208,-36.37311,15.32673
2.9786,28.29657,-34.09906,10.83290
3.0184,26.81085,-30.28365,8.93830
3.0597,26.25312,-27.15851,7.84493
3.0996,23.64052,-24.39016,5.25166
3.1396,20.80793,-21.89740,3.62208
3.1811,17.00081,-19.57280,1.85479
3.2217,14.04308,-17.37635,0.78949
3.2644,10.17661,-15.05252,-0.45124
3.3048,6.59320,-12.82863,-1.20834
3.3433,3.75436,-10.54004,-2.21588
3.3836,1.89075,-8.44113,-2.53469
3.4233,0.35238,-6.29369,-2.52249
3.4636,-0.41071,-4.53523,-1.96458
3.5035,-0.68349,-3.14031,-1.55102
3.5435,-0.75797,-2.12513,-0.93758
3.5833,-0.81570,-1.52495,-0.71260
3.6245,-1.15258,-0.99618,-0.50560
3.6634,-1.60759,-0.71023,-0.37208
3.7039,-1.75678,-0.36758,-0.13439
3.7443,-1.83627,-0.19854,-0.01957
3.7855,-1.77040,-0.01980,-0.16952
3.8262,-1.28049,0.23558,-0.47920
3.8677,-1.02287,0.53539,-0.58429
3.9088,-1.02352,0.88435,-0.52146
3.9481,-0.96924,0.99451,-0.05623
3.9874,-1.07904,0.92861,0.21333
4.0287,-1.24520,0.70719,0.26748
4.0668,-1.12337,0.62795,0.14232
4.1105,-1.05696,0.66017,0.16638
4.1467,-1.04202,0.74296,0.12107
4.1867,-1.07445,0.63465,0.13896
4.2273,-1.11839,0.27478,-0.08792
4.2687,-0.98111,-0.18392,-0.27012
4.3098,-0.81294,-0.82543,-0.71909
4.3499,-0.66780,-1.55463,-0.82889
4.3877,-0.50036,-2.29254,-0.99732
4.4303,0.36532,-2.82478,-1.22017
4.4728,1.10266,-3.14879,-0.53903
4.5091,2.25913,-2.94768,-0.28326
4.5497,3.54093,-2.83629,0.89447
4.5991,3.60269,-2.60137,2.98483
4.6306,3.08106,-2.10598,5.24494
4.6710,2.84335,-1.62444,6.49026
4.7101,2.53435,-1.09214,6.80136
4.7515,2.41822,-0.63294,6.97598
4.7912,1.98860,-0.18539,6.74150
4.8318,1.81540,0.05548,6.48714
4.8712,1.41046,0.23141,6.17665
4.9103,1.29117,0.31296,5.60583
4.9505,0.88580,0.37127,5.18553
4.9909,0.57085,0.32303,4.61330
5.0349,0.39967,0.26272,4.03374
5.0712,0.15273,0.12972,3.82166
5.1112,0.06006,0.01913,3.41351
5.1510,-0.17541,-0.13363,3.00818
5.1905,-0.30748,-0.21351,2.68463
5.2300,-0.30407,-0.29684,2.26684
5.2699,-0.41958,-0.41178,2.03182
5.3109,-0.39963,-0.44701,1.68391
