time,X_value,Y_value,Z_value
Started:,8월 19 2019,15:11:13:531, 
0.0000,0.00000,0.00000,0.00000
0.0006,-1.15979,-0.95102,1.10893
0.0376,-0.90334,-0.74469,0.90939
0.0780,-0.68620,-0.58573,0.76745
0.1177,-0.58185,-0.44796,0.64474
0.1583,-0.47811,-0.34384,0.50668
0.1982,-0.42114,-0.27481,0.41815
0.2377,-0.28252,-0.22838,0.42832
0.2780,-0.19782,-0.22783,0.37047
0.3176,-0.20102,-0.21926,0.31212
0.3580,-0.12509,-0.21117,0.30885
0.3979,-0.13538,-0.19115,0.27494
0.4380,-0.09298,-0.13620,0.17321
0.4781,-0.00457,-0.11979,0.25015
0.5176,-0.05965,-0.11830,0.26418
0.5593,0.04637,-0.09663,0.27129
0.5990,0.03673,-0.09895,0.19789
0.6399,0.00557,-0.07823,0.27953
0.6806,0.09123,-0.04869,0.33620
0.7202,0.19099,0.02896,0.23554
0.7602,0.34232,0.13225,0.58168
0.8012,0.32154,0.34085,0.61127
0.8403,0.19027,0.54455,0.82256
0.8806,0.64717,0.47701,1.18102
0.9217,0.91666,0.49348,1.42617
0.9598,1.59724,0.62915,1.83534
1.0010,2.00695,0.62865,2.36713
1.0418,2.29157,0.77640,2.56593
1.0836,2.62036,0.70318,3.07073
1.1236,3.01482,0.61399,2.84440
1.1635,3.88710,0.43085,2.67527
1.2063,4.25216,-0.12913,2.88381
1.2440,4.28946,-0.77459,2.53850
1.2877,4.75198,-1.49400,2.39574
1.3244,4.72406,-2.23556,2.51714
1.3638,4.89727,-2.64750,2.50230
1.4038,4.70497,-3.07137,2.47574
1.4439,4.45040,-3.30456,2.56422
1.4869,4.34818,-3.64482,2.65955
1.5234,4.04162,-3.84662,2.68345
1.5635,4.14956,-4.09271,2.71784
1.6033,3.52745,-4.46406,3.18992
1.6440,3.39401,-4.73070,3.45295
1.6826,3.03056,-5.31956,3.60069
1.7229,1.98968,-6.03056,4.17602
1.7646,1.77828,-6.34711,4.78897
1.8034,1.51989,-6.72869,5.33290
1.8436,1.63740,-6.93316,5.45506
1.8837,2.35569,-6.72696,5.21486
1.9243,2.67949,-6.84748,4.80965
1.9638,2.71919,-7.16917,4.63880
2.0031,2.33612,-7.68044,4.30337
2.0436,1.94346,-8.34589,4.29571
2.0831,1.45026,-8.53881,4.18250
2.1236,1.25571,-8.06244,3.93291
2.1626,1.83061,-7.09967,3.11960
2.2038,2.25112,-6.15644,1.92278
2.2427,2.53073,-5.47792,1.30587
2.2823,2.33089,-5.07536,0.98799
2.3237,2.21157,-4.68609,1.00616
2.3654,2.02884,-4.28070,1.09902
2.4037,1.96386,-3.97471,0.89808
2.4430,2.08400,-3.73799,0.83571
2.4827,2.13360,-3.83184,0.81546
2.5239,2.56840,-4.17760,0.99500
2.5637,3.01347,-4.86516,1.69434
2.6036,4.19613,-5.82291,2.24593
2.6439,5.56338,-7.06337,3.80508
2.6873,7.33968,-9.26862,5.90062
2.7247,11.60317,-11.97667,8.56567
2.7655,16.01135,-16.02739,11.07493
2.8038,22.44335,-22.13054,13.61867
2.8457,29.75459,-30.08832,21.38976
2.8878,35.07184,-34.81301,23.35186
2.9256,38.00875,-37.60843,23.97094
2.9636,38.83921,-37.74283,20.96361
3.0058,39.17363,-38.62382,19.58505
3.0442,36.87041,-35.74012,20.06618
3.0844,34.25463,-30.96873,17.24569
3.1250,30.33117,-26.38143,15.91001
3.1642,28.36007,-21.13214,14.31393
3.2056,25.50782,-16.28953,12.28430
3.2444,23.23529,-11.72872,11.03564
3.2845,20.50932,-7.94184,9.68592
3.3256,18.36550,-4.98178,7.84033
3.3651,15.76834,-3.01833,6.19676
3.4066,13.37181,-1.56926,4.58536
3.4467,11.38131,-0.69602,3.49159
3.4867,9.75462,-0.23157,2.80326
3.5294,8.59169,-0.05056,2.00348
3.5663,7.62618,-0.33973,1.77740
3.6068,7.13894,-0.79399,1.66357
3.6465,6.60247,-1.52141,1.63180
3.6885,5.79076,-2.49960,2.37954
3.7269,5.11697,-3.33682,3.05060
3.7659,4.42085,-4.54375,4.19024
3.8132,2.78512,-5.84056,5.32751
3.8451,1.48135,-6.82398,6.42564
3.8860,-0.16351,-7.80694,6.89210
3.9267,-1.38062,-8.21779,7.16826
3.9663,-2.80385,-8.50667,7.21575
4.0066,-3.65950,-8.50991,6.92837
4.0472,-3.87892,-8.17270,6.43458
4.0990,-3.75788,-7.62314,5.79006
4.1247,-3.38818,-6.98792,5.40043
4.1661,-3.24930,-6.24599,4.66623
4.2069,-2.99097,-5.37357,4.14212
4.2481,-2.73592,-4.44559,3.33968
4.2912,-2.50305,-3.56594,2.52697
4.3287,-2.28301,-2.78472,1.70256
4.3671,-1.92957,-2.09301,1.13225
4.4074,-1.63236,-1.45708,0.61939
4.4470,-1.31429,-0.90394,0.16989
4.4869,-1.09162,-0.43311,-0.22701
4.5284,-0.82597,-0.06184,-0.54460
4.5652,-0.66607,0.18086,-0.80036
4.6072,-0.42033,0.35092,-1.16028
4.6484,-0.11575,0.45193,-1.07602
